Sampling rate,PCA dims,Compress rate,Params
20,7,0.1,1348
20,7,0.2,1241
20,7,0.3,1241
20,7,0.4,1134
20,7,0.5,1027
20,7,0.6,1027
20,7,0.7,920
20,7,0.8,920
20,7,0.9,813
20,8,0.1,1348
20,8,0.2,1241
20,8,0.3,1241
20,8,0.4,1134
20,8,0.5,1027
20,8,0.6,1027
20,8,0.7,920
20,8,0.8,920
20,8,0.9,813
20,10,0.1,1948
20,10,0.2,1741
20,10,0.3,1741
20,10,0.4,1534
20,10,0.5,1327
20,10,0.6,1327
20,10,0.7,1120
20,10,0.8,1120
20,10,0.9,913
20,15,0.1,3748
20,15,0.2,3241
20,15,0.3,3241
20,15,0.4,2734
20,15,0.5,2227
20,15,0.6,2227
20,15,0.7,1720
20,15,0.8,1720
20,15,0.9,1213
20,20,0.1,4948
20,20,0.2,4241
20,20,0.3,4241
20,20,0.4,3534
20,20,0.5,2827
20,20,0.6,2827
20,20,0.7,2120
20,20,0.8,2120
20,20,0.9,1413
20,30,0.1,7948
20,30,0.2,6741
20,30,0.3,6741
20,30,0.4,5534
20,30,0.5,4327
20,30,0.6,4327
20,30,0.7,3120
20,30,0.8,3120
20,30,0.9,1913
