Sampling rate,PCA dims,Compress rate,Params
5,15,0.1,3655
5,15,0.2,3442
5,15,0.3,3229
5,15,0.4,3016
5,15,0.5,2590
5,15,0.6,2377
5,15,0.7,2164
5,15,0.8,1951
5,15,0.9,1738
5,18,0.1,4755
5,18,0.2,4442
5,18,0.3,4129
5,18,0.4,3816
5,18,0.5,3190
5,18,0.6,2877
5,18,0.7,2564
5,18,0.8,2251
5,18,0.9,1938
5,21,0.1,6955
5,21,0.2,6442
5,21,0.3,5929
5,21,0.4,5416
5,21,0.5,4390
5,21,0.6,3877
5,21,0.7,3364
5,21,0.8,2851
5,21,0.9,2338
5,24,0.1,8055
5,24,0.2,7442
5,24,0.3,6829
5,24,0.4,6216
5,24,0.5,4990
5,24,0.6,4377
5,24,0.7,3764
5,24,0.8,3151
5,24,0.9,2538
5,27,0.1,10255
5,27,0.2,9442
5,27,0.3,8629
5,27,0.4,7816
5,27,0.5,6190
5,27,0.6,5377
5,27,0.7,4564
5,27,0.8,3751
5,27,0.9,2938
5,30,0.1,11355
5,30,0.2,10442
5,30,0.3,9529
5,30,0.4,8616
5,30,0.5,6790
5,30,0.6,5877
5,30,0.7,4964
5,30,0.8,4051
5,30,0.9,3138
10,15,0.1,3655
10,15,0.2,3442
10,15,0.3,3229
10,15,0.4,3016
10,15,0.5,2590
10,15,0.6,2377
10,15,0.7,2164
10,15,0.8,1951
10,15,0.9,1738
10,18,0.1,4755
10,18,0.2,4442
10,18,0.3,4129
10,18,0.4,3816
10,18,0.5,3190
10,18,0.6,2877
10,18,0.7,2564
10,18,0.8,2251
10,18,0.9,1938
10,21,0.1,6955
10,21,0.2,6442
10,21,0.3,5929
10,21,0.4,5416
10,21,0.5,4390
10,21,0.6,3877
10,21,0.7,3364
10,21,0.8,2851
10,21,0.9,2338
10,24,0.1,8055
10,24,0.2,7442
10,24,0.3,6829
10,24,0.4,6216
10,24,0.5,4990
10,24,0.6,4377
10,24,0.7,3764
10,24,0.8,3151
10,24,0.9,2538
10,27,0.1,10255
10,27,0.2,9442
10,27,0.3,8629
10,27,0.4,7816
10,27,0.5,6190
10,27,0.6,5377
10,27,0.7,4564
10,27,0.8,3751
10,27,0.9,2938
10,30,0.1,11355
10,30,0.2,10442
10,30,0.3,9529
10,30,0.4,8616
10,30,0.5,6790
10,30,0.6,5877
10,30,0.7,4964
10,30,0.8,4051
10,30,0.9,3138
20,15,0.1,3655
20,15,0.2,3442
20,15,0.3,3229
20,15,0.4,3016
20,15,0.5,2590
20,15,0.6,2377
20,15,0.7,2164
20,15,0.8,1951
20,15,0.9,1738
20,18,0.1,4755
20,18,0.2,4442
20,18,0.3,4129
20,18,0.4,3816
20,18,0.5,3190
20,18,0.6,2877
20,18,0.7,2564
20,18,0.8,2251
20,18,0.9,1938
20,21,0.1,6955
20,21,0.2,6442
20,21,0.3,5929
20,21,0.4,5416
20,21,0.5,4390
20,21,0.6,3877
20,21,0.7,3364
20,21,0.8,2851
20,21,0.9,2338
20,24,0.1,8055
20,24,0.2,7442
20,24,0.3,6829
20,24,0.4,6216
20,24,0.5,4990
20,24,0.6,4377
20,24,0.7,3764
20,24,0.8,3151
20,24,0.9,2538
20,27,0.1,10255
20,27,0.2,9442
20,27,0.3,8629
20,27,0.4,7816
20,27,0.5,6190
20,27,0.6,5377
20,27,0.7,4564
20,27,0.8,3751
20,27,0.9,2938
20,30,0.1,11355
20,30,0.2,10442
20,30,0.3,9529
20,30,0.4,8616
20,30,0.5,6790
20,30,0.6,5877
20,30,0.7,4964
20,30,0.8,4051
20,30,0.9,3138
25,15,0.1,3655
25,15,0.2,3442
25,15,0.3,3229
25,15,0.4,3016
25,15,0.5,2590
25,15,0.6,2377
25,15,0.7,2164
25,15,0.8,1951
25,15,0.9,1738
25,18,0.1,4755
25,18,0.2,4442
25,18,0.3,4129
25,18,0.4,3816
25,18,0.5,3190
25,18,0.6,2877
25,18,0.7,2564
25,18,0.8,2251
25,18,0.9,1938
25,21,0.1,6955
25,21,0.2,6442
25,21,0.3,5929
25,21,0.4,5416
25,21,0.5,4390
25,21,0.6,3877
25,21,0.7,3364
25,21,0.8,2851
25,21,0.9,2338
25,24,0.1,8055
25,24,0.2,7442
25,24,0.3,6829
25,24,0.4,6216
25,24,0.5,4990
25,24,0.6,4377
25,24,0.7,3764
25,24,0.8,3151
25,24,0.9,2538
25,27,0.1,10255
25,27,0.2,9442
25,27,0.3,8629
25,27,0.4,7816
25,27,0.5,6190
25,27,0.6,5377
25,27,0.7,4564
25,27,0.8,3751
25,27,0.9,2938
25,30,0.1,11355
25,30,0.2,10442
25,30,0.3,9529
25,30,0.4,8616
25,30,0.5,6790
25,30,0.6,5877
25,30,0.7,4964
25,30,0.8,4051
25,30,0.9,3138
40,15,0.1,3655
40,15,0.2,3442
40,15,0.3,3229
40,15,0.4,3016
40,15,0.5,2590
40,15,0.6,2377
40,15,0.7,2164
40,15,0.8,1951
40,15,0.9,1738
40,18,0.1,4755
40,18,0.2,4442
40,18,0.3,4129
40,18,0.4,3816
40,18,0.5,3190
40,18,0.6,2877
40,18,0.7,2564
40,18,0.8,2251
40,18,0.9,1938
40,21,0.1,6955
40,21,0.2,6442
40,21,0.3,5929
40,21,0.4,5416
40,21,0.5,4390
40,21,0.6,3877
40,21,0.7,3364
