Sampling rate,PCA dims,SVM,NB,KNN,RF
5,30,0.11273193359375,1583189533.3820238,0.04089045524597168,1583189534.552814
5,15,0.047875165939331055,1583189534.68948,0.00598597526550293,1583189535.5631053
5,18,0.05684494972229004,1583189535.6695602,0.007977008819580078,1583189536.6838484
5,21,0.10272359848022461,1583189536.805522,0.011966943740844727,1583189537.8219244
5,24,0.03499650955200195,1583189537.9724023,0.005984783172607422,1583189538.8459756
5,27,0.036661386489868164,1583189538.9440587,0.0059604644775390625,1583189539.9992213
10,30,0.2423417568206787,1583189540.1675417,0.03490567207336426,1583189542.530346
10,15,0.16038036346435547,1583189542.8595278,0.007902145385742188,1583189544.5271492
10,18,0.1945345401763916,1583189544.733271,0.009029865264892578,1583189546.350945
10,21,0.20354080200195312,1583189546.6920042,0.01704096794128418,1583189548.7855065
10,24,0.19935965538024902,1583189549.1027524,0.02393627166748047,1583189551.720895
10,27,0.3998532295227051,1583189552.0498645,0.020975589752197266,1583189554.6499422
20,30,0.14259839057922363,1583189555.1306844,0.012872457504272461,1583189556.8689015
20,15,0.36696648597717285,1583189558.4756389,0.02093958854675293,1583189560.2689419
20,18,0.2223217487335205,1583189560.7406158,0.00789499282836914,1583189563.52816
20,21,0.12260913848876953,1583189564.0836587,0.009908437728881836,1583189566.0624819
20,24,0.10662317276000977,1583189566.2289982,0.012855768203735352,1583189568.1936948
20,27,0.4006223678588867,1583189568.5170462,0.025924205780029297,1583189570.6403687
25,30,0.5834119319915771,1583189571.2993302,0.0388951301574707,1583189578.145027
25,15,0.6403193473815918,1583189578.862083,0.03690052032470703,1583189583.0669081
25,18,0.8458991050720215,1583189584.625544,0.04999899864196777,1583189589.5413709
25,21,0.7168428897857666,1583189590.6318567,0.048781633377075195,1583189595.5596845
25,24,0.7500162124633789,1583189596.4081497,0.047898054122924805,1583189601.3948808
25,27,0.5305485725402832,1583189602.4111555,0.03191423416137695,1583189607.6790707
40,30,0.22124290466308594,1583189608.400277,0.032915592193603516,1583189611.1269865
40,15,0.3386495113372803,1583189611.468355,0.01396322250366211,1583189613.155842
40,18,0.2871534824371338,1583189613.8037436,0.02086663246154785,1583189616.2721434
40,21,0.2623264789581299,1583189616.8914192,0.021939992904663086,1583189619.1473527
40,24,0.10173463821411133,1583189619.4834783,0.008979082107543945,1583189621.5659041
40,27,0.448840856552124,1583189621.9438694,0.02882242202758789,1583189624.333474
50,30,2.0563676357269287,1583189624.927062,0.06476902961730957,1583189637.7378109
50,15,1.5478932857513428,1583189639.8929157,0.03291177749633789,1583189648.982582
50,18,1.6236929893493652,1583189650.6142163,0.038930654525756836,1583189661.8352683
50,21,1.7576773166656494,1583189663.5593805,0.0472569465637207,1583189675.8833168
50,24,2.6836695671081543,1583189677.8545787,0.11155200004577637,1583189688.830255
50,27,2.58010196685791,1583189691.6395693,0.05784797668457031,1583189704.6658914
